ID,Molecule,SMILES
0,cyclopropane,C1CC1
1,cyclobutane,C1CCC1
2,bicyclo[1.1.0]butane,C12CC1C2
3,bicyclo[2.1.0]pentane,C1CC2CC12
4,bicyclo[2.2.0]hexane,C12CCC1CC2
5,bicyclo[3.1.0]hexane,C12CC1CCC2
6,[1.1.1]propellane,C1C2(C3)C13C2
7,[3.1.1]propellane,C12(C3)C3(CCC2)C1
8,[3.2.1]propellane,C1CC2(CCC3)C13C2
9,[2.2.2]propellane,C1CC23CCC12CC3
10,cubane,C12C3C4C1C5C4C3C25
11,oxirane,O1CC1
12,aziridine,N1CC1
13,epiphosphine,P1CC1
14,episulfide,S1CC1
15,oxetane,C1CCO1
16,azetidine,C1CCN1
17,phosphetane,C1CCP1
18,thietane,C1CCS1
19,1-azabicyclo[1.1.0]butane,C12CN1C2
20,1-azabicyclo[2.1.0]pentane,C12CCN1C2
21,ethane,CC
22,propane,CCC
23,butane,CCCC
24,2.5-dimethylhexane,CC(C)CCC(C)C
25,methylcyclopropane,CC1CC1
26,2-methylpentane,CC(C)CCC
27,cyclopentane,C1CCCC1
28,methylcyclobutane,CC1CCC1
29,ethylcyclopropane,CCC1CC1
30,cis-1.2-dimethylcyclopropane,C[C@@H]1[C@H](C)C1
31,cyclohexane,C1CCCCC1
32,ethylcyclobutane,CCC1CCC1
33,cis-1.2-dimethylcyclobutane,C[C@H]1[C@@H](C)CC1
34,methylcyclopentane,CC1CCCC1
35,propylcyclopropane,CCCC1CC1
36,cis-1-ethyl-2-methylcyclopropane,C[C@@H]1[C@H](CC)C1
37,bicyclo[1.1.1]pentane,C1(C2)CC2C1
38,2-methylpropane,CC(C)C
39,2.2.3.3-tetramethylbutane,CC(C)(C)C(C)(C)C
40,1-methylbicyclo[1.1.0]butane,C[C@@]12C[C@]1([H])C2
41,2.2-dimethylbutane,CCC(C)(C)C
42,bicyclo[3.1.1]heptane,C12CC(CCC2)C1
43,1-methylbicyclo[3.1.0]hexane,C[C@@]12C[C@]1([H])CCC2
44,1-ethylbicyclo[1.1.0]butane,CCC[C@@]12C[C@]1([H])C2
45,cis-1-ethyl-3-methylbicyclo[1.1.0]butane,CC[C@@]12C[C@]1(C)C2
46,bicyclo[3.2.1]octane,[C@H]1(C2)CC[C@@H]2CCC1
47,1-methylbicyclo[3.2.0]heptane,C[C@@]12[C@@](CCC2)([H])CC1
48,1-ethylbicyclo[3.1.0]hexane,CC[C@@]12C[C@]1([H])CCC2
49,cis-1.3-dimethylbicyclo[3.1.0]hexane,C[C@@]12C[C@]1(C)CCC2
50,1-propylbicyclo[2.1.0]pentane,CCC[C@]12C[C@@]1([H])CC2
51,cis-1-ethyl-2-methylbicyclo[2.1.0]pentane,CC[C@]12C[C@@]1(C)CC2
52,bicyclo[2.2.2]octane,C12CCC(CC2)CC1
53,1-ethylbicyclo[2.2.0]hexane,CC[C@@]12[C@@](CC2)([H])CC1
54,cis-1.3-dimethylbicyclo[2.2.0]hexane,C[C@@]12[C@@](CC2)(C)CC1
55,tetracyclo[4.2.0.0.0]octane,[C@@H]12[C@H]3C4C1C[C@@H]2[C@@H]3C4
56,methanol,CO
57,ethanol,OCC
58,methoxyethane,COCC
59,dimethylether,COC
60,methylamine,CN
61,ethylamine,NCC
62,ethylmethylamine,CNCC
63,dimethylamine,CNC
64,ethylamine,CCN
65,methylphosphine,CP
66,ethylphopshine,PCC
67,ethylmethylphosphine,CPCC
68,dimethylphosphine,CPC
69,methanethiol,CS
70,ethanethiol,SCC
71,ethylmethylsulfide,CSCC
72,dimethylsulfide,CSC
73,propanol,OCCC
74,propylamine,NCCC
75,propylphosphine,PCCC
76,propanethiol,SCCC
77,isopropyldimethylamine,CN(C)C(C)C
78,ethyldimethylamine,CN(C)CC
79,2-methylaziridine,CC1NC1
80,N-methylaziridine,CN1CC1
81,isopropylamine,NC(C)C
82,pyrrolidine,C1CCCN1
83,2-methylazetidine,CC1CCN1
84,2-ethylaziridine,CCC1NC1
85,N-methyl-2-methylaziridine,CN1C(C)C1
86,propylmethylamine,CNCCC
87,N-ethylaziridine,CCN1CC1
88,N-methylbutan-2amine,CNC(C)CC
89,N-methylazetidine,CN1CCC1
90,DMDO,CC1(OO1)C
91,2.2-dihydroxypropane,CC(O)(O)C
92,dimethylperoxide,COOC
93,isopropanol,OC(C)C
94,hydrogen peroxide,OO
95,2-hydroperoxypropane,CC(OO)C
96,2-hydroperoxypropan-2-ol,CC(OO)(O)C
97,ortho-benzyne,C1=CC=CC#C1
98,Z-hexa-1.3.5-triene,C=C/C=C\C=C
99,benzene,C1=CC=CC=C1
100,hexa-1.5-dien-3-yne,C=CC#CC=C
101,cyclooctyne,C1CCCCCC#C1
102,Z-hex-3-ene,CC/C=C\CC
103,Z-cyclooctene,C1CCCCC/C=C\1
104,hex-3-yne,CCC#CCC
105,cyclooctane,C1CCCCCCC1
106,hexane,CCCCCC
107,oct-4-yne,CCCC#CCCC
108,octane,CCCCCCCC
109,cyclopropene,C1=CC1
110,cyclobutene,C1CC=C1
111,cyclopentene,C1C=CCC1
112,E-hex-3-ene,CC/C=C/CC
113,E-hexa-1.3.5-triene,C=C/C=C/C=C
114,cyclopentyne,C1C#CCC1
115,cyclohexyne,C1#CCCCC1
116,Z-cyclohexene,C1=CCCCC1
117,Z-cycloheptene,C1=CCCCCC1
118,cycloheptyne,C1#CCCCCC1
119,cyclononyne,C1C#CCCCCCC1
120,cyclodecyne,C1CCCCC#CCCC1
121,Z-cyclononene,C1/C=C\CCCCCC1
122,Z-cyclodecene,C1CCCC/C=C\CCC1
123,cycloheptane,C1CCCCCC1